row_num,owner_link,owner_link2,nft_id,value
82,<a href=https://debank.com/profile/0xcc202930867769a83b61cf5053b65d1845e76aea target=_blank>👤 0xcc...6aea</a>,<a href=https://arbiscan.io/address/0xcc202930867769a83b61cf5053b65d1845e76aea target=_blank>👤 0xcc...6aea</a>,753,78986
83,<a href=https://debank.com/profile/0xba0c565110f65d181b9ff1d8a9f787b52857bb0c target=_blank>👤 0xba...bb0c</a>,<a href=https://arbiscan.io/address/0xba0c565110f65d181b9ff1d8a9f787b52857bb0c target=_blank>👤 0xba...bb0c</a>,2410,77899
84,<a href=https://debank.com/profile/0xfb21f8a7a67c1846b1034d13ae118855ad1b8da0 target=_blank>👤 0xfb...8da0</a>,<a href=https://arbiscan.io/address/0xfb21f8a7a67c1846b1034d13ae118855ad1b8da0 target=_blank>👤 0xfb...8da0</a>,1317,77735
85,<a href=https://debank.com/profile/0xc13aa1d5fa211d04b7dd87ae2f780151d47022cd target=_blank>👤 0xc1...22cd</a>,<a href=https://arbiscan.io/address/0xc13aa1d5fa211d04b7dd87ae2f780151d47022cd target=_blank>👤 0xc1...22cd</a>,1228,77483
86,<a href=https://debank.com/profile/0x589ffaeab4a99275660a9fa4274cb58f7329f4df target=_blank>👤 0x58...f4df</a>,<a href=https://arbiscan.io/address/0x589ffaeab4a99275660a9fa4274cb58f7329f4df target=_blank>👤 0x58...f4df</a>,1525,74215
87,<a href=https://debank.com/profile/0xe684dc05c16851c65edb5d9fc3b11bce4f427eb2 target=_blank>👤 0xe6...7eb2</a>,<a href=https://arbiscan.io/address/0xe684dc05c16851c65edb5d9fc3b11bce4f427eb2 target=_blank>👤 0xe6...7eb2</a>,2094,74105
88,<a href=https://debank.com/profile/0xc91b41cabfeca199c6e2b84a9da08d24f3853397 target=_blank>👤 0xc9...3397</a>,<a href=https://arbiscan.io/address/0xc91b41cabfeca199c6e2b84a9da08d24f3853397 target=_blank>👤 0xc9...3397</a>,2243,70786
89,<a href=https://debank.com/profile/0x829335c1b224e34a463fd2bb26a0d23e5fa04575 target=_blank>👤 0x82...4575</a>,<a href=https://arbiscan.io/address/0x829335c1b224e34a463fd2bb26a0d23e5fa04575 target=_blank>👤 0x82...4575</a>,1096,68659
90,<a href=https://debank.com/profile/0xceff98a045a3732f3e26247a29ba5e7d52fe84b2 target=_blank>👤 0xce...84b2</a>,<a href=https://arbiscan.io/address/0xceff98a045a3732f3e26247a29ba5e7d52fe84b2 target=_blank>👤 0xce...84b2</a>,500,67532
91,<a href=https://debank.com/profile/0x35a1a7740653b9c99b9b70c37c1c97192585b6bb target=_blank>👤 0x35...b6bb</a>,<a href=https://arbiscan.io/address/0x35a1a7740653b9c99b9b70c37c1c97192585b6bb target=_blank>👤 0x35...b6bb</a>,"1813, 1822",67239
92,<a href=https://debank.com/profile/0x2fcca9685b8b64637d1cb36e20c35b207e189f64 target=_blank>👤 0x2f...9f64</a>,<a href=https://arbiscan.io/address/0x2fcca9685b8b64637d1cb36e20c35b207e189f64 target=_blank>👤 0x2f...9f64</a>,"51, 1688, 1691, 1689, 1690, 1825",64569
93,<a href=https://debank.com/profile/0xb005fc539bbf699cf72af82343e0da5da5fcffde target=_blank>👤 0xb0...ffde</a>,<a href=https://arbiscan.io/address/0xb005fc539bbf699cf72af82343e0da5da5fcffde target=_blank>👤 0xb0...ffde</a>,1546,63644
94,<a href=https://debank.com/profile/0xc945d0f96e4b91333f0edc870007d419806bd970 target=_blank>👤 0xc9...d970</a>,<a href=https://arbiscan.io/address/0xc945d0f96e4b91333f0edc870007d419806bd970 target=_blank>👤 0xc9...d970</a>,1962,63099
95,<a href=https://debank.com/profile/0xa84f4a753f9459fa64862cab91b260d7367dfd19 target=_blank>👤 0xa8...fd19</a>,<a href=https://arbiscan.io/address/0xa84f4a753f9459fa64862cab91b260d7367dfd19 target=_blank>👤 0xa8...fd19</a>,1095,61836
96,<a href=https://debank.com/profile/0x57702217d1cdbf4df7110abd91832216310b4062 target=_blank>👤 0x57...4062</a>,<a href=https://arbiscan.io/address/0x57702217d1cdbf4df7110abd91832216310b4062 target=_blank>👤 0x57...4062</a>,2630,60918
97,<a href=https://debank.com/profile/0xd4f7661d034e06c3f8e0b0c95193520c1e391c6e target=_blank>👤 0xd4...1c6e</a>,<a href=https://arbiscan.io/address/0xd4f7661d034e06c3f8e0b0c95193520c1e391c6e target=_blank>👤 0xd4...1c6e</a>,2000,60021
